date,open,high,low,close
7/29/2016,2168.83,2177.09,2163.49,2173.6
7/28/2016,2166.05,2172.85,2159.74,2170.06
7/27/2016,2169.81,2174.98,2159.07,2166.58
7/26/2016,2168.97,2173.54,2160.18,2169.18
7/25/2016,2173.71,2173.71,2161.95,2168.48
7/22/2016,2166.47,2175.11,2163.24,2175.03
7/21/2016,2172.91,2174.56,2159.75,2165.17
7/20/2016,2166.1,2175.63,2164.89,2173.02
7/19/2016,2163.79,2164.63,2159.01,2163.78
7/18/2016,2162.04,2168.35,2159.63,2166.89
7/15/2016,2165.13,2169.05,2155.79,2161.74
7/14/2016,2157.88,2168.99,2157.88,2163.75
7/13/2016,2153.81,2156.45,2146.21,2152.43
7/12/2016,2139.5,2155.4,2139.5,2152.14
7/11/2016,2131.72,2143.16,2131.72,2137.16
7/8/2016,2106.97,2131.71,2106.97,2129.9
7/7/2016,2100.42,2109.08,2089.39,2097.9
7/6/2016,2084.43,2100.72,2074.02,2099.73
7/5/2016,2095.05,2095.05,2080.86,2088.55
7/1/2016,2099.34,2108.71,2097.9,2102.95
6/30/2016,2073.17,2098.94,2070,2098.86
6/29/2016,2042.69,2073.13,2042.69,2070.77
6/28/2016,2006.67,2036.09,2006.67,2036.09
6/27/2016,2031.45,2031.45,1991.68,2000.54
6/24/2016,2103.81,2103.81,2032.57,2037.41
6/23/2016,2092.8,2113.32,2092.8,2113.32
6/22/2016,2089.75,2099.71,2084.36,2085.45
6/21/2016,2085.19,2093.66,2083.02,2088.9
6/20/2016,2075.58,2100.66,2075.58,2083.25
6/17/2016,2078.2,2078.2,2062.84,2071.22
6/16/2016,2066.36,2079.62,2050.37,2077.99
6/15/2016,2077.6,2085.65,2069.8,2071.5
6/14/2016,2076.65,2081.3,2064.1,2075.32
6/13/2016,2091.75,2098.12,2078.46,2079.06
6/10/2016,2109.57,2109.57,2089.96,2096.07
6/9/2016,2115.65,2117.64,2107.73,2115.48
6/8/2016,2112.71,2120.55,2112.71,2119.12
6/7/2016,2110.18,2119.22,2110.18,2112.13
6/6/2016,2100.83,2113.36,2100.83,2109.41
6/3/2016,2104.07,2104.07,2085.36,2099.13
6/2/2016,2097.71,2105.26,2088.59,2105.26
6/1/2016,2093.94,2100.97,2085.1,2099.33
5/31/2016,2100.13,2103.48,2088.66,2096.96
5/27/2016,2090.06,2099.06,2090.06,2099.06
5/26/2016,2091.44,2094.3,2087.08,2090.1
5/25/2016,2078.93,2094.73,2078.93,2090.54
5/24/2016,2052.65,2079.67,2052.65,2076.06
5/23/2016,2052.23,2055.58,2047.26,2048.04
5/20/2016,2041.88,2058.35,2041.88,2052.32
5/19/2016,2044.21,2044.21,2025.91,2040.04
5/18/2016,2044.38,2060.61,2034.49,2047.63
5/17/2016,2065.04,2065.69,2040.82,2047.21
5/16/2016,2046.53,2071.88,2046.53,2066.66
5/13/2016,2062.5,2066.79,2043.13,2046.61
5/12/2016,2067.17,2073.99,2053.13,2064.11
5/11/2016,2083.29,2083.29,2064.46,2064.46
5/10/2016,2062.63,2084.87,2062.63,2084.39
5/9/2016,2057.55,2064.15,2054.31,2058.69
5/6/2016,2047.77,2057.72,2039.45,2057.14
5/5/2016,2052.95,2060.23,2045.77,2050.63
5/4/2016,2060.3,2060.3,2045.55,2051.12
5/3/2016,2077.18,2077.18,2054.89,2063.37
5/2/2016,2067.17,2083.42,2066.11,2081.43
4/29/2016,2071.82,2073.85,2052.28,2065.3
4/28/2016,2090.93,2099.3,2071.62,2075.81
4/27/2016,2092.33,2099.89,2082.31,2095.15
4/26/2016,2089.84,2096.87,2085.8,2091.7
4/25/2016,2089.37,2089.37,2077.52,2087.79
4/22/2016,2091.49,2094.32,2081.2,2091.58
4/21/2016,2102.09,2103.78,2088.52,2091.48
4/20/2016,2101.52,2111.05,2096.32,2102.4
4/19/2016,2096.05,2104.05,2091.68,2100.8
4/18/2016,2078.83,2094.66,2073.65,2094.34
4/15/2016,2083.1,2083.22,2076.31,2080.73
4/14/2016,2082.89,2087.84,2078.13,2082.78
4/13/2016,2065.92,2083.18,2065.92,2082.42
4/12/2016,2043.72,2065.05,2039.74,2061.72
4/11/2016,2050.23,2062.93,2041.88,2041.99
4/8/2016,2045.54,2060.63,2041.69,2047.6
4/7/2016,2063.01,2063.01,2033.8,2041.91
4/6/2016,2045.56,2067.33,2043.09,2066.66
4/5/2016,2062.5,2062.5,2042.56,2045.17
4/4/2016,2073.19,2074.02,2062.57,2066.13
4/1/2016,2056.62,2075.07,2043.98,2072.78
3/31/2016,2063.77,2067.92,2057.46,2059.74
3/30/2016,2058.27,2072.21,2058.27,2063.95
3/29/2016,2035.75,2055.91,2028.31,2055.01
3/28/2016,2037.89,2042.67,2031.96,2037.05
3/24/2016,2032.48,2036.04,2022.49,2035.94
3/23/2016,2048.55,2048.55,2034.86,2036.71
3/22/2016,2048.64,2056.6,2040.57,2049.8
3/21/2016,2047.88,2053.91,2043.14,2051.6
3/18/2016,2041.16,2052.36,2041.16,2049.58
3/17/2016,2026.9,2046.24,2022.16,2040.59
3/16/2016,2014.24,2032.02,2010.04,2027.22
3/15/2016,2015.27,2015.94,2005.23,2015.93
3/14/2016,2019.27,2024.57,2012.05,2019.64
3/11/2016,1994.71,2022.37,1994.71,2022.19
3/10/2016,1990.97,2005.08,1969.25,1989.57
3/9/2016,1981.44,1992.69,1979.84,1989.26
3/8/2016,1996.88,1996.88,1977.43,1979.26
3/7/2016,1996.11,2006.12,1989.38,2001.76
3/4/2016,1994.01,2009.13,1986.77,1999.99
3/3/2016,1985.6,1993.69,1977.37,1993.4
3/2/2016,1976.6,1986.51,1968.8,1986.45
3/1/2016,1937.09,1978.35,1937.09,1978.35
2/29/2016,1947.13,1958.27,1931.81,1932.23
2/26/2016,1954.95,1962.96,1945.78,1948.05
2/25/2016,1931.87,1951.83,1925.41,1951.7
2/24/2016,1917.56,1932.08,1891,1929.8
2/23/2016,1942.38,1942.38,1919.44,1921.27
2/22/2016,1924.44,1946.7,1924.44,1945.5
2/19/2016,1916.74,1918.78,1902.17,1917.78
2/18/2016,1927.57,1930,1915.09,1917.83
2/17/2016,1898.8,1930.68,1898.8,1926.82
2/16/2016,1871.44,1895.77,1871.44,1895.58
2/12/2016,1833.4,1864.78,1833.4,1864.78
2/11/2016,1847,1847,1810.1,1829.08
2/10/2016,1857.1,1881.6,1850.32,1851.86
2/9/2016,1848.46,1868.25,1834.94,1852.21
